date,cases,country,size
31-12-2019,27,China,10
31-12-2019,0,India,10
31-12-2019,0,Italy,10
31-12-2019,0,Japan,10
31-12-2019,0,Russia,10
31-12-2019,0,United States of America,10
01-01-2020,0,China,10
01-01-2020,0,India,10
01-01-2020,0,Italy,10
01-01-2020,0,Japan,10
01-01-2020,0,Russia,10
01-01-2020,0,United States of America,10
02-01-2020,0,China,10
02-01-2020,0,India,10
02-01-2020,0,Italy,10
02-01-2020,0,Japan,10
02-01-2020,0,Russia,10
02-01-2020,0,United States of America,10
03-01-2020,17,China,10
03-01-2020,0,India,10
03-01-2020,0,Italy,10
03-01-2020,0,Japan,10
03-01-2020,0,Russia,10
03-01-2020,0,United States of America,10
04-01-2020,0,China,10
04-01-2020,0,India,10
04-01-2020,0,Italy,10
04-01-2020,0,Japan,10
04-01-2020,0,Russia,10
04-01-2020,0,United States of America,10
05-01-2020,15,China,10
05-01-2020,0,India,10
05-01-2020,0,Italy,10
05-01-2020,0,Japan,10
05-01-2020,0,Russia,10
05-01-2020,0,United States of America,10
06-01-2020,0,China,10
06-01-2020,0,India,10
06-01-2020,0,Italy,10
06-01-2020,0,Japan,10
06-01-2020,0,Russia,10
06-01-2020,0,United States of America,10
07-01-2020,0,China,10
07-01-2020,0,India,10
07-01-2020,0,Italy,10
07-01-2020,0,Japan,10
07-01-2020,0,Russia,10
07-01-2020,0,United States of America,10
08-01-2020,0,China,10
08-01-2020,0,India,10
08-01-2020,0,Italy,10
08-01-2020,0,Japan,10
08-01-2020,0,Russia,10
08-01-2020,0,United States of America,10
09-01-2020,0,China,10
09-01-2020,0,India,10
09-01-2020,0,Italy,10
09-01-2020,0,Japan,10
09-01-2020,0,Russia,10
09-01-2020,0,United States of America,10
10-01-2020,0,China,10
10-01-2020,0,India,10
10-01-2020,0,Italy,10
10-01-2020,0,Japan,10
10-01-2020,0,Russia,10
10-01-2020,0,United States of America,10
11-01-2020,0,China,10
11-01-2020,0,India,10
11-01-2020,0,Italy,10
11-01-2020,0,Japan,10
11-01-2020,0,Russia,10
11-01-2020,0,United States of America,10
12-01-2020,0,China,10
12-01-2020,0,India,10
12-01-2020,0,Italy,10
12-01-2020,0,Japan,10
12-01-2020,0,Russia,10
12-01-2020,0,United States of America,10
13-01-2020,0,China,10
13-01-2020,0,India,10
13-01-2020,0,Italy,10
13-01-2020,0,Japan,10
13-01-2020,0,Russia,10
13-01-2020,0,United States of America,10
14-01-2020,0,China,10
14-01-2020,0,India,10
14-01-2020,0,Italy,10
14-01-2020,0,Japan,10
14-01-2020,0,Russia,10
14-01-2020,0,United States of America,10
15-01-2020,0,China,10
15-01-2020,0,India,10
15-01-2020,0,Italy,10
15-01-2020,1,Japan,10
15-01-2020,0,Russia,10
15-01-2020,0,United States of America,10
16-01-2020,0,China,10
16-01-2020,0,India,10
16-01-2020,0,Italy,10
16-01-2020,0,Japan,10
16-01-2020,0,Russia,10
16-01-2020,0,United States of America,10
17-01-2020,4,China,10
17-01-2020,0,India,10
17-01-2020,0,Italy,10
17-01-2020,0,Japan,10
17-01-2020,0,Russia,10
17-01-2020,0,United States of America,10
18-01-2020,17,China,10
18-01-2020,0,India,10
18-01-2020,0,Italy,10
18-01-2020,0,Japan,10
18-01-2020,0,Russia,10
18-01-2020,0,United States of America,10
19-01-2020,136,China,10
19-01-2020,0,India,10
19-01-2020,0,Italy,10
19-01-2020,0,Japan,10
19-01-2020,0,Russia,10
19-01-2020,0,United States of America,10
20-01-2020,19,China,10
20-01-2020,0,India,10
20-01-2020,0,Italy,10
20-01-2020,0,Japan,10
20-01-2020,0,Russia,10
20-01-2020,0,United States of America,10
21-01-2020,151,China,10
21-01-2020,0,India,10
21-01-2020,0,Italy,10
21-01-2020,0,Japan,10
21-01-2020,0,Russia,10
21-01-2020,1,United States of America,10
22-01-2020,140,China,10
22-01-2020,0,India,10
22-01-2020,0,Italy,10
22-01-2020,0,Japan,10
22-01-2020,0,Russia,10
22-01-2020,0,United States of America,10
23-01-2020,97,China,10
23-01-2020,0,India,10
23-01-2020,0,Italy,10
23-01-2020,0,Japan,10
23-01-2020,0,Russia,10
23-01-2020,0,United States of America,10
24-01-2020,259,China,10
24-01-2020,0,India,10
24-01-2020,0,Italy,10
24-01-2020,1,Japan,10
24-01-2020,0,Russia,10
24-01-2020,0,United States of America,10
25-01-2020,441,China,10
25-01-2020,0,India,10
25-01-2020,0,Italy,10
25-01-2020,0,Japan,10
25-01-2020,0,Russia,10
25-01-2020,1,United States of America,10
26-01-2020,665,China,10
26-01-2020,0,India,10
26-01-2020,0,Italy,10
26-01-2020,1,Japan,10
26-01-2020,0,Russia,10
26-01-2020,0,United States of America,10
27-01-2020,787,China,10
27-01-2020,0,India,10
27-01-2020,0,Italy,10
27-01-2020,0,Japan,10
27-01-2020,0,Russia,10
27-01-2020,3,United States of America,10
28-01-2020,1753,China,10
28-01-2020,0,India,10
28-01-2020,0,Italy,10
28-01-2020,1,Japan,10
28-01-2020,0,Russia,10
28-01-2020,0,United States of America,10
29-01-2020,1466,China,10
29-01-2020,0,India,10
29-01-2020,0,Italy,10
29-01-2020,3,Japan,10
29-01-2020,0,Russia,10
29-01-2020,0,United States of America,10
30-01-2020,1740,China,10
30-01-2020,1,India,10
30-01-2020,0,Italy,10
30-01-2020,4,Japan,10
30-01-2020,0,Russia,10
30-01-2020,0,United States of America,10
31-01-2020,1980,China,10
31-01-2020,0,India,10
31-01-2020,3,Italy,10
31-01-2020,3,Japan,10
31-01-2020,0,Russia,10
31-01-2020,1,United States of America,10
01-02-2020,2095,China,10
01-02-2020,0,India,10
01-02-2020,0,Italy,10
01-02-2020,1,Japan,10
01-02-2020,2,Russia,10
01-02-2020,1,United States of America,10
02-02-2020,2590,China,10
02-02-2020,1,India,10
02-02-2020,0,Italy,10
02-02-2020,4,Japan,10
02-02-2020,0,Russia,10
02-02-2020,1,United States of America,10
03-02-2020,2812,China,10
03-02-2020,0,India,10
03-02-2020,0,Italy,10
03-02-2020,1,Japan,10
03-02-2020,0,Russia,10
03-02-2020,3,United States of America,10
04-02-2020,3237,China,10
04-02-2020,1,India,10
04-02-2020,0,Italy,10
04-02-2020,0,Japan,10
04-02-2020,0,Russia,10
04-02-2020,0,United States of America,10
05-02-2020,3872,China,10
05-02-2020,0,India,10
05-02-2020,0,Italy,10
05-02-2020,5,Japan,10
